customer_id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_5803,51.0,management,single,tertiary,no,102128.0,no,no,cellular,872,1.0,0,unknown,1.0
id_39278,86.0,retired,married,secondary,no,81208.0,no,no,telephone,935,1.0,3,success,1.0
id_15464,53.0,entrepreneur,married,tertiary,no,51440.0,no,yes,cellular,837,1.0,0,unknown,1.0
id_36545,59.0,unemployed,divorced,secondary,no,44129.0,no,no,cellular,992,1.0,0,unknown,1.0
id_28943,56.0,retired,married,tertiary,no,41237.0,no,no,cellular,701,1.0,0,unknown,1.0
id_9386,34.0,unemployed,married,tertiary,no,39385.0,no,no,cellular,752,1.0,0,unknown,1.0
id_43498,31.0,management,single,tertiary,no,38275.0,no,no,cellular,829,2.0,0,unknown,1.0
id_12988,50.0,entrepreneur,married,tertiary,no,36938.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_6900,75.0,retired,divorced,primary,no,29083.0,no,no,cellular,845,5.0,4,other,1.0
id_38900,39.0,management,married,tertiary,no,27695.0,no,no,cellular,894,2.0,5,success,1.0
id_225,33.0,housemaid,single,primary,no,26968.0,no,no,cellular,915,2.0,0,unknown,1.0
id_13262,40.0,technician,divorced,tertiary,no,24056.0,no,yes,unknown,855,1.0,0,unknown,1.0
id_9279,33.0,technician,single,tertiary,no,23914.0,no,no,cellular,802,2.0,0,unknown,1.0
id_8812,23.0,student,single,secondary,no,23882.0,no,no,cellular,880,1.0,1,success,1.0
id_31790,32.0,technician,married,secondary,no,23879.0,no,no,cellular,796,2.0,0,unknown,1.0
id_42838,40.575475409836066,management,married,tertiary,no,22447.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_15290,58.0,unknown,married,unknown,no,19270.0,no,no,unknown,730,1.0,0,unknown,1.0
id_21844,29.0,technician,single,tertiary,no,18253.0,no,no,cellular,895,2.0,0,unknown,1.0
id_44474,51.0,management,married,tertiary,no,17007.0,no,no,cellular,703,2.0,0,unknown,1.0
id_21153,40.575475409836066,housemaid,married,secondary,no,16360.0,no,no,telephone,703,1.0,0,unknown,1.0
id_10136,56.0,entrepreneur,married,tertiary,no,16125.0,no,no,telephone,701,1.0,0,unknown,1.0
id_42305,55.0,management,married,tertiary,no,15516.0,no,no,cellular,704,1.0,0,unknown,1.0
id_33519,43.0,technician,married,tertiary,no,15443.0,no,no,cellular,872,2.0,0,unknown,1.0
id_17767,47.0,admin.,married,secondary,no,14442.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_18558,59.0,retired,married,secondary,no,14413.0,no,no,cellular,704,1.0,0,unknown,1.0
id_10489,31.0,services,married,secondary,no,14384.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_23238,56.0,management,married,tertiary,no,14343.0,yes,no,cellular,990,1.0,0,unknown,1.0
id_10491,50.0,admin.,divorced,secondary,no,14219.0,no,no,cellular,801,2.0,0,unknown,1.0
id_39534,26.0,technician,single,tertiary,no,14054.0,no,no,cellular,822,1.0,0,unknown,1.0
id_13133,37.0,entrepreneur,married,primary,no,13929.0,yes,no,cellular,820,2.0,0,unknown,1.0
id_44226,46.0,unemployed,married,secondary,no,13818.0,no,no,cellular,701,1.0,2,failure,1.0
id_41299,27.0,blue-collar,single,secondary,no,13658.0,yes,yes,cellular,920,1.0,0,unknown,1.0
id_37540,44.0,blue-collar,married,unknown,no,13267.0,no,no,cellular,815,2.0,0,unknown,1.0
id_31711,46.0,admin.,married,secondary,no,13232.0,no,yes,telephone,837,2.0,0,unknown,1.0
id_23113,63.0,retired,married,secondary,no,13161.0,no,no,cellular,844,1.0,0,unknown,1.0
id_42166,27.0,student,single,tertiary,no,13109.0,yes,no,cellular,930,1.0,2,failure,1.0
id_41384,42.0,management,married,secondary,no,13052.0,yes,no,cellular,895,2.0,12,other,1.0
id_37455,32.0,management,single,tertiary,no,13015.0,no,no,cellular,983,1.0,1,success,1.0
id_27709,47.0,services,married,unknown,no,12841.0,yes,no,cellular,899,1.0,4,failure,1.0
id_8870,32.0,entrepreneur,married,secondary,no,12734.0,no,yes,cellular,703,2.0,0,unknown,1.0
id_6733,33.0,blue-collar,single,primary,no,12195.0,yes,no,cellular,888,1.0,0,unknown,1.0
